danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.636,0.657,6,-6.246,1,0.0422,0.601,0.0000126,0.0986,0.38,80.027,spotify:track:16tlhh3jNraThY2kgBlG4X,206293,4,1
0.574,0.764,2,-4.797,0,0.228,0.678,0.000974,0.116,0.473,160.044,spotify:track:4URU1lRXhWwZIXuxKI1SuH,221533,4,1
0.489,0.898,5,-4.369,1,0.0365,0.025,0.00000411,0.255,0.763,164.032,spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w,183723,4,0
0.563,0.772,5,-6.737,1,0.0593,0.00101,0.0000195,0.214,0.394,119.909,spotify:track:4YX7OBp0yoMwC6eZNNg5ky,180243,4,0
0.384,0.446,11,-7.807,1,0.0299,0.252,0,0.185,0.399,180.181,spotify:track:4Bzs0eTQVVJxBSz4ljzics,191187,3,0
0.474,0.594,11,-5.756,1,0.0289,0.0292,0,0.133,0.503,86.131,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,195987,4,0
0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,221800,4,0
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,213024,4,0
0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,spotify:track:2u7Nm46dAujcAi5Rw79CJL,182493,4,0
0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,196800,3,0
0.56,0.679,5,-4.527,1,0.0236,0.123,0.0000246,0.224,0.622,92.928,spotify:track:1Be8liECvEP5NYZjYvukbI,198467,4,0
0.489,0.9,7,-3.563,1,0.0488,0.0441,0,0.247,0.611,200.054,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,182693,4,0
0.791,0.715,7,-5.809,1,0.0377,0.353,0,0.115,0.593,112.027,spotify:track:5H4YGepZNnPhnOHA9vZSEP,166787,4,0
0.687,0.75,11,-4.537,1,0.0965,0.107,0.00000305,0.161,0.911,98.987,spotify:track:7M1PQZeyqslVtY5ZiYBGLo,172534,4,0
0.588,0.868,10,-4.904,1,0.0384,0.0351,0,0.118,0.559,92.021,spotify:track:4EIW00kTdPSUDOJwkN80x5,183871,4,0
0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,spotify:track:6UsoV6X96Rox9mfxoz7SFy,197840,4,0
0.494,0.78,11,-3.825,1,0.064,0.368,0,0.0921,0.664,159.708,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,211427,4,0
0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,spotify:track:6usHXaTn54uwwozmH00d3X,184080,4,0
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,163870,4,0
0.488,0.637,10,-7.63,1,0.0401,0.265,0,0.106,0.23,88.872,spotify:track:1KTLLe980WR4RLKg74Ud6e,208653,4,0
0.692,0.692,2,-6.065,1,0.0818,0.189,0,0.0884,0.75,153.255,spotify:track:6QkObBYNxVVUYt4FSpnTqY,160107,4,0
0.551,0.801,6,-5.069,1,0.0303,0.013,0.00000603,0.265,0.625,128.027,spotify:track:1mMLMZYXkMueg65jRRWG1l,240760,4,0
0.716,0.718,0,-5.355,1,0.0293,0.0896,0,0.473,0.537,100.934,spotify:track:7rdK9NSJIRBZAiXC0vuBS9,185707,4,0
0.707,0.632,10,-7.031,1,0.0789,0.103,0.0000109,0.0841,0.372,97.04,spotify:track:09ts3GnICqYEU5PkQCpJK3,278893,4,0
0.564,0.904,7,-3.808,1,0.0582,0.00719,0,0.528,0.637,124.102,spotify:track:2BgunkkepMPFpArQj1Dx5s,160991,4,0
0.587,0.863,4,-4.803,1,0.04,0.161,0,0.159,0.537,160.167,spotify:track:2N2EoS0dVmkNT0tfI0OYUA,184156,4,0
0.543,0.836,6,-5.477,1,0.055,0.00909,0,0.162,0.695,120.071,spotify:track:0TiyDTDc569zUUa9wyiRD7,178772,4,0
0.599,0.931,11,-3.662,1,0.0517,0.0285,0,0.102,0.788,111.012,spotify:track:2p2cCrOaNrIOLk5ArtlHy6,180302,4,0
0.501,0.876,3,-4.792,1,0.0404,0.0106,0,0.135,0.681,159.025,spotify:track:5gfK6bZFaApxdSHsHXrwPD,175493,4,0
0.659,0.902,7,-6.192,1,0.0296,0.13,0.0000945,0.0574,0.809,124.985,spotify:track:77a5Eu7lC3tG0Sukt2O91U,230013,4,0
0.603,0.625,6,-6.563,1,0.0258,0.302,0,0.141,0.651,96.02,spotify:track:0Is6MRHWKe7y2xIxDkvO6l,192920,4,0
0.557,0.571,10,-8.106,1,0.0281,0.476,0.00114,0.101,0.392,80.981,spotify:track:5slddJ629YcePvqD6Uyk8r,219600,4,0
0.687,0.625,1,-6.942,0,0.0284,0.042,0,0.151,0.866,104.027,spotify:track:7AK5vh1cRnO3YxAjOjL4Yy,195418,4,0
0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,212445,4,0
0.474,0.583,4,-7.093,1,0.0469,0.00651,0,0.128,0.366,148.051,spotify:track:0wyja8xD9cNhDtfuY0dVMP,195667,4,0
0.434,0.831,8,-4.774,1,0.0453,0.0651,0,0.119,0.596,156.034,spotify:track:6CyJlVAEFlNdpggOLanytL,185440,4,0
0.597,0.721,9,-6.422,1,0.0356,0.0362,0,0.0832,0.437,132.054,spotify:track:6LF5IVPG7xBcvPgI6Bfcsl,149293,4,0
0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,227573,4,0
0.51,0.386,1,-8.391,1,0.0307,0.456,0,0.252,0.266,86.36,spotify:track:7uVkYr8gxcPEgqohvynpdN,199436,4,0
0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,spotify:track:3LhzpgimYSZhTx5KuchwVX,196240,4,0
0.49,0.88,7,-5.185,1,0.0731,0.081,0,0.103,0.493,91.93,spotify:track:1dbRZljBhUrIFrpLTXOXqq,170440,4,0
0.663,0.738,7,-5.48,1,0.0303,0.032,0.000225,0.0856,0.825,130.02,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,157080,4,0
0.549,0.751,9,-5.423,1,0.0299,0.122,0,0.208,0.493,89.953,spotify:track:3I7krC8kr0gFR7P6vInR1I,234306,4,0
0.526,0.85,10,-4.47,0,0.0313,0.023,0,0.0948,0.338,141.973,spotify:track:3yHTTHbT058Ow0favhZO38,184173,4,0
0.557,0.807,7,-5.428,1,0.0825,0.189,0,0.234,0.578,81.045,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,171493,4,0
0.617,0.482,0,-5.121,1,0.0322,0.204,0,0.216,0.508,81.73,spotify:track:6W4DY8jGf8POlFsMQhR2E6,253084,4,0
0.636,0.784,2,-6.01,1,0.0454,0.00766,0.0000107,0.0806,0.613,96.996,spotify:track:0ya80Qhw7hgeJp2L6zvxcj,207053,4,0
0.582,0.568,1,-6.051,1,0.0297,0.196,0,0.0841,0.64,76.025,spotify:track:3T6MAweakkNrMYs8jZIWtg,207187,4,0
0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,205453,4,0
0.603,0.872,6,-3.563,1,0.0487,0.102,0,0.0505,0.594,94.008,spotify:track:52K3RIVDetSuZPzcTmIVoY,188013,4,0
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,179507,4,0
0.504,0.472,9,-6.925,1,0.0404,0.54,0,0.306,0.313,73.521,spotify:track:4pYd8dIohiqc3KsxSRqf0w,216993,4,0
0.555,0.722,11,-6.005,1,0.034,0.119,0,0.0861,0.559,134.058,spotify:track:6RSNKGdv3nDTHqgw4bdzyF,216960,4,0
0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,spotify:track:10Igtw8bSDyyFs7KIsKngZ,216632,4,0
0.777,0.657,1,-6.434,1,0.237,0.000738,0.00000334,0.0932,0.245,189.992,spotify:track:739vCwA3EpBSkk3uDsI2wB,226107,4,0
0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,spotify:track:45Egmo7icyopuzJN0oMEdk,201707,4,0
0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,spotify:track:7wrDRQgHlvDnimrRHfQZxt,220880,4,0
0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,0
0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,spotify:track:08bNPGLD8AhKpnnERrAc6G,202621,4,0
0.804,0.823,11,-3.496,0,0.147,0.00523,0.00000277,0.168,0.619,98.026,spotify:track:6y68QK2SwC38YxsbxHrA8I,199945,4,0
0.758,0.448,7,-9.441,1,0.103,0.0309,0.0000867,0.558,0.373,77.176,spotify:track:2XW4DbS6NddZxRPm5rMCeY,198960,4,0
0.471,0.755,11,-6.612,0,0.0455,0.00836,0,0.368,0.512,154.801,spotify:track:3pIigjAWkzwAonXpJ1fmSF,224027,4,0
0.818,0.563,2,-8.096,1,0.398,0.0253,0,0.0909,0.486,152.108,spotify:track:6J3YPOejivwLSjM2dru5Ad,210675,4,0
0.882,0.503,11,-6.618,1,0.179,0.224,0,0.108,0.176,95.011,spotify:track:0gD6lWJhbXHWNVwQziSVvl,175511,4,0
0.68,0.738,6,-4.881,0,0.0331,0.173,0.00036,0.37,0.675,105.015,spotify:track:4v0CuFW0bEMBQ1gRn2mB3X,190720,4,0
0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,218320,4,0
0.868,0.752,1,-6.786,1,0.0667,0.00189,0.0000169,0.142,0.874,149.987,spotify:track:3s3VVLE1kB7Xk2AoJKlGmr,217560,4,0
0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,spotify:track:1HagMz5nWk1HmevNCBOxF3,190921,4,0
0.676,0.775,0,-6.369,0,0.168,0.0264,0,0.123,0.402,104.913,spotify:track:67BEhVyQPe661gMYUyEhLw,171000,4,0
0.755,0.536,8,-5.605,1,0.12,0.114,0,0.0282,0.882,138.969,spotify:track:33KJ2xFYONOlIYDBg6wPx8,198040,4,0
0.907,0.61,1,-6.716,1,0.0886,0.407,0.00000306,0.129,0.963,112.011,spotify:track:3gsOAmZ9E4XlyQvzIKJT8d,195960,4,0
0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,spotify:track:42tFTth2jcF7iSo0RBjfJF,189050,4,0
0.749,0.85,0,-4.346,1,0.0468,0.0319,0.0000481,0.0678,0.672,145.983,spotify:track:5EzitieoPnjyKHAq0gfRMa,190423,4,0
0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,spotify:track:18W92Zm1KjLCbUIszOhpkD,197939,4,0
0.716,0.805,4,-3.839,1,0.0856,0.014,0.0000031,0.291,0.719,142.886,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,133995,4,0
0.573,0.688,6,-7.303,1,0.0372,0.0312,0,0.0962,0.189,110.739,spotify:track:7rKCmo4SZhKubupJdsuM5S,331125,4,0
0.755,0.649,5,-7.573,0,0.0303,0.0928,0.000177,0.0939,0.734,104.022,spotify:track:7uvDJFly0TCWWsK48NI1fx,226120,4,0
0.534,0.784,0,-6.542,1,0.0476,0.125,0.00000892,0.0753,0.251,118.011,spotify:track:0WWUC8RjWvuBTkiiFDxyQf,246933,4,0
0.615,0.592,7,-7.676,1,0.065,0.00216,0,0.0809,0.196,86.994,spotify:track:4hPxXTBcUoEQjedrVPXelB,194147,4,0
0.345,0.775,9,-7.879,0,0.0621,0.00983,0.000421,0.242,0.269,150.02,spotify:track:0ZoNpycWGCmmXQ5JJxzSlH,247617,4,0
0.784,0.58,0,-6.656,1,0.167,0.176,0,0.0979,0.338,76.484,spotify:track:0qFX9pVJQB4lBMxRoFXqGr,236944,4,0
0.897,0.632,4,-6.097,0,0.296,0.0497,0.00000796,0.111,0.499,151.99,spotify:track:4VmcVEuTlYnWcc6QksaLyw,176842,4,0
0.901,0.529,8,-7.94,1,0.413,0.0679,0,0.536,0.343,144.941,spotify:track:3ZYwSDF9knZI0RVlKR4PHC,183809,4,0
0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,0
0.712,0.829,1,-4.707,0,0.141,0.0149,0,0.122,0.593,173.953,spotify:track:2yUbCEiaolfSMluDo9RMmG,332301,4,0
0.964,0.555,5,-6.245,0,0.0499,0.0301,0.000567,0.128,0.338,130.017,spotify:track:0TFVOjSvPTjFHkiZZekK5k,218261,4,0
0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,spotify:track:4lTiuD1DwBKo4L7wqMkD7C,144149,4,0
0.88,0.61,9,-5.257,1,0.402,0.196,0,0.105,0.383,135.993,spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,170000,4,0
0.667,0.723,5,-4.31,0,0.27,0.0455,0.000179,0.213,0.251,148.057,spotify:track:6tarvNiKnEjYMj1VZhlDqR,153475,4,0
0.871,0.552,4,-4.953,0,0.0509,0.128,0,0.272,0.27,141.973,spotify:track:5NkfVQS8BkceRgoSQwcW6H,273087,4,0
0.851,0.666,11,-5.334,0,0.0694,0.139,0,0.105,0.0585,134.068,spotify:track:5Qx9hngUBr30JFrNua7yp4,129105,4,0
0.781,0.81,10,-4.301,0,0.356,0.738,0,0.144,0.908,173.949,spotify:track:365wwIjijQdlRJEjUWTidq,234667,4,0
0.799,0.325,2,-9.91,1,0.506,0.0326,0.0000353,0.114,0.233,157.966,spotify:track:1pWeQDyW5ieMmfjr8HP5TU,185200,4,0
0.512,0.121,9,-19.46,1,0.0338,0.991,0.74,0.0726,0.298,69.981,spotify:track:3FBk3DcCOC5gkhX50rbHbC,172457,4,0
0.356,0.0199,6,-26.752,0,0.0645,0.994,0.956,0.155,0.326,79.547,spotify:track:1hYEnW3hjGnnvTuEUlAD6h,174375,4,0
0.161,0.00613,0,-38.027,1,0.039,0.994,0.846,0.0895,0.0363,74.671,spotify:track:7gpL5CorPuYBthvZkPPFGd,138798,1,0
0.786,0.669,1,-8.273,0,0.0669,0.000728,0,0.0346,0.832,77.177,spotify:track:1mB5iZe1OrN9gYZtLOklI6,230880,4,0
0.68,0.878,8,-3.923,0,0.0554,0.0744,0,0.137,0.769,169.987,spotify:track:3YbtjYddK11NTDdUpC4nGp,225395,4,0
0.728,0.5,4,-6.214,0,0.0344,0.0749,0.00000584,0.108,0.382,138.528,spotify:track:260F1LrhRMiuXOZIaypMZd,283427,4,0
0.66,0.679,2,-6.749,1,0.111,0.0224,0,0.0945,0.595,164.11,spotify:track:26IEVYmeFletNA10cOkdBb,243174,4,0
0.747,0.657,7,-5.993,1,0.0525,0.217,0,0.0844,0.725,96.286,spotify:track:2nkuZha8Oe9puQ8ZX1P9ha,216477,4,0
0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,spotify:track:2N60TAtXaCbmi7zqdUoW61,237961,4,0
