danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,class
0.504,0.472,9,-6.925,1,0.0404,0.54,0,0.306,0.313,73.521,spotify:track:4pYd8dIohiqc3KsxSRqf0w,216993,4,bad
0.555,0.722,11,-6.005,1,0.034,0.119,0,0.0861,0.559,134.058,spotify:track:6RSNKGdv3nDTHqgw4bdzyF,216960,4,bad
0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,spotify:track:10Igtw8bSDyyFs7KIsKngZ,216632,4,bad
0.777,0.657,1,-6.434,1,0.237,0.000738,0.00000334,0.0932,0.245,189.992,spotify:track:739vCwA3EpBSkk3uDsI2wB,226107,4,bad
0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,spotify:track:45Egmo7icyopuzJN0oMEdk,201707,4,bad
0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,spotify:track:7wrDRQgHlvDnimrRHfQZxt,220880,4,bad
0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,bad
0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,spotify:track:08bNPGLD8AhKpnnERrAc6G,202621,4,bad
0.804,0.823,11,-3.496,0,0.147,0.00523,0.00000277,0.168,0.619,98.026,spotify:track:6y68QK2SwC38YxsbxHrA8I,199945,4,bad
0.758,0.448,7,-9.441,1,0.103,0.0309,0.0000867,0.558,0.373,77.176,spotify:track:2XW4DbS6NddZxRPm5rMCeY,198960,4,bad
0.471,0.755,11,-6.612,0,0.0455,0.00836,0,0.368,0.512,154.801,spotify:track:3pIigjAWkzwAonXpJ1fmSF,224027,4,bad
0.818,0.563,2,-8.096,1,0.398,0.0253,0,0.0909,0.486,152.108,spotify:track:6J3YPOejivwLSjM2dru5Ad,210675,4,bad
0.882,0.503,11,-6.618,1,0.179,0.224,0,0.108,0.176,95.011,spotify:track:0gD6lWJhbXHWNVwQziSVvl,175511,4,bad
0.68,0.738,6,-4.881,0,0.0331,0.173,0.00036,0.37,0.675,105.015,spotify:track:4v0CuFW0bEMBQ1gRn2mB3X,190720,4,bad
0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,218320,4,bad
0.868,0.752,1,-6.786,1,0.0667,0.00189,0.0000169,0.142,0.874,149.987,spotify:track:3s3VVLE1kB7Xk2AoJKlGmr,217560,4,bad
0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,spotify:track:1HagMz5nWk1HmevNCBOxF3,190921,4,bad
0.676,0.775,0,-6.369,0,0.168,0.0264,0,0.123,0.402,104.913,spotify:track:67BEhVyQPe661gMYUyEhLw,171000,4,bad
0.755,0.536,8,-5.605,1,0.12,0.114,0,0.0282,0.882,138.969,spotify:track:33KJ2xFYONOlIYDBg6wPx8,198040,4,bad
0.907,0.61,1,-6.716,1,0.0886,0.407,0.00000306,0.129,0.963,112.011,spotify:track:3gsOAmZ9E4XlyQvzIKJT8d,195960,4,bad
0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,spotify:track:42tFTth2jcF7iSo0RBjfJF,189050,4,bad
0.749,0.85,0,-4.346,1,0.0468,0.0319,0.0000481,0.0678,0.672,145.983,spotify:track:5EzitieoPnjyKHAq0gfRMa,190423,4,bad
0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,spotify:track:18W92Zm1KjLCbUIszOhpkD,197939,4,bad
0.716,0.805,4,-3.839,1,0.0856,0.014,0.0000031,0.291,0.719,142.886,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,133995,4,bad
0.573,0.688,6,-7.303,1,0.0372,0.0312,0,0.0962,0.189,110.739,spotify:track:7rKCmo4SZhKubupJdsuM5S,331125,4,bad
0.755,0.649,5,-7.573,0,0.0303,0.0928,0.000177,0.0939,0.734,104.022,spotify:track:7uvDJFly0TCWWsK48NI1fx,226120,4,bad
0.534,0.784,0,-6.542,1,0.0476,0.125,0.00000892,0.0753,0.251,118.011,spotify:track:0WWUC8RjWvuBTkiiFDxyQf,246933,4,bad
0.615,0.592,7,-7.676,1,0.065,0.00216,0,0.0809,0.196,86.994,spotify:track:4hPxXTBcUoEQjedrVPXelB,194147,4,bad
0.345,0.775,9,-7.879,0,0.0621,0.00983,0.000421,0.242,0.269,150.02,spotify:track:0ZoNpycWGCmmXQ5JJxzSlH,247617,4,bad
0.784,0.58,0,-6.656,1,0.167,0.176,0,0.0979,0.338,76.484,spotify:track:0qFX9pVJQB4lBMxRoFXqGr,236944,4,bad
0.897,0.632,4,-6.097,0,0.296,0.0497,0.00000796,0.111,0.499,151.99,spotify:track:4VmcVEuTlYnWcc6QksaLyw,176842,4,bad
0.901,0.529,8,-7.94,1,0.413,0.0679,0,0.536,0.343,144.941,spotify:track:3ZYwSDF9knZI0RVlKR4PHC,183809,4,bad
0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,bad
0.712,0.829,1,-4.707,0,0.141,0.0149,0,0.122,0.593,173.953,spotify:track:2yUbCEiaolfSMluDo9RMmG,332301,4,bad
0.964,0.555,5,-6.245,0,0.0499,0.0301,0.000567,0.128,0.338,130.017,spotify:track:0TFVOjSvPTjFHkiZZekK5k,218261,4,bad
0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,spotify:track:4lTiuD1DwBKo4L7wqMkD7C,144149,4,bad
0.88,0.61,9,-5.257,1,0.402,0.196,0,0.105,0.383,135.993,spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,170000,4,bad
0.667,0.723,5,-4.31,0,0.27,0.0455,0.000179,0.213,0.251,148.057,spotify:track:6tarvNiKnEjYMj1VZhlDqR,153475,4,bad
0.871,0.552,4,-4.953,0,0.0509,0.128,0,0.272,0.27,141.973,spotify:track:5NkfVQS8BkceRgoSQwcW6H,273087,4,bad
0.851,0.666,11,-5.334,0,0.0694,0.139,0,0.105,0.0585,134.068,spotify:track:5Qx9hngUBr30JFrNua7yp4,129105,4,bad
0.781,0.81,10,-4.301,0,0.356,0.738,0,0.144,0.908,173.949,spotify:track:365wwIjijQdlRJEjUWTidq,234667,4,bad
0.799,0.325,2,-9.91,1,0.506,0.0326,0.0000353,0.114,0.233,157.966,spotify:track:1pWeQDyW5ieMmfjr8HP5TU,185200,4,bad
0.512,0.121,9,-19.46,1,0.0338,0.991,0.74,0.0726,0.298,69.981,spotify:track:3FBk3DcCOC5gkhX50rbHbC,172457,4,bad
0.356,0.0199,6,-26.752,0,0.0645,0.994,0.956,0.155,0.326,79.547,spotify:track:1hYEnW3hjGnnvTuEUlAD6h,174375,4,bad
0.161,0.00613,0,-38.027,1,0.039,0.994,0.846,0.0895,0.0363,74.671,spotify:track:7gpL5CorPuYBthvZkPPFGd,138798,1,bad
0.786,0.669,1,-8.273,0,0.0669,0.000728,0,0.0346,0.832,77.177,spotify:track:1mB5iZe1OrN9gYZtLOklI6,230880,4,bad
0.68,0.878,8,-3.923,0,0.0554,0.0744,0,0.137,0.769,169.987,spotify:track:3YbtjYddK11NTDdUpC4nGp,225395,4,bad
0.728,0.5,4,-6.214,0,0.0344,0.0749,0.00000584,0.108,0.382,138.528,spotify:track:260F1LrhRMiuXOZIaypMZd,283427,4,bad
0.66,0.679,2,-6.749,1,0.111,0.0224,0,0.0945,0.595,164.11,spotify:track:26IEVYmeFletNA10cOkdBb,243174,4,bad
0.747,0.657,7,-5.993,1,0.0525,0.217,0,0.0844,0.725,96.286,spotify:track:2nkuZha8Oe9puQ8ZX1P9ha,216477,4,bad
0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,spotify:track:2N60TAtXaCbmi7zqdUoW61,237961,4,bad
0.561,0.507,0,-8.628,1,0.294,0.607,0,0.618,0.484,82.719,spotify:track:42lKCQOl2TQpB4HTjKDpQ7,209147,4,okay
0.576,0.848,0,-4.843,1,0.0478,0.00856,0.00362,0.351,0.505,120.043,spotify:track:4S7BYX9wxfprr3OSZMozxL,223082,4,okay
0.303,0.459,5,-7.577,0,0.0325,0.0204,0.000531,0.153,0.101,78.861,spotify:track:6Np3Ntxmj4yl9y3eVB7Esr,157373,4,okay
0.574,0.547,0,-8.134,1,0.0435,0.607,0.00000209,0.0762,0.236,118.14,spotify:track:30AeH6saju8WPJo73cKZyH,213937,4,okay
0.55,0.689,1,-6.478,1,0.0929,0.0834,0.000727,0.104,0.179,160.056,spotify:track:577Jd6UW9FUqUF6StozHkl,261867,4,okay
0.532,0.814,4,-6.078,0,0.0347,0.00396,0.11,0.339,0.506,104.009,spotify:track:28Apu5sWHoaZoeMCAWK2V1,284770,4,okay
0.292,0.71,2,-6.386,1,0.0495,0.000805,0.0292,0.272,0.205,141.415,spotify:track:7g4aRiQH7AN07x1Y2eCIuh,232242,4,okay
0.544,0.81,6,-4.427,1,0.164,0.0824,0.00000224,0.312,0.85,147.13,spotify:track:0p9E7l00TBA1aqmhElZoLx,240547,4,okay
0.565,0.73,1,-4.54,1,0.031,0.0879,0,0.0652,0.408,82.058,spotify:track:0oPDrdHQwkjaT0aytZavUO,236773,4,okay
0.59,0.306,7,-4.953,1,0.0299,0.764,0,0.148,0.316,142.418,spotify:track:61IsztUa3EPy7L0VyfUCAg,257973,4,okay
0.544,0.774,5,-4.21,0,0.0339,0.00682,0,0.135,0.522,174.121,spotify:track:1oew3nFNY3vMacJAsvry0S,193733,4,okay
0.447,0.206,3,-11.75,1,0.0519,0.956,0.00000456,0.107,0.327,66.734,spotify:track:7fkXzzIVo98CgjOkpd9H0V,240791,4,okay
0.478,0.181,11,-8.731,1,0.0327,0.975,0.00000337,0.0795,0.279,108.346,spotify:track:2EDYchd8hhwAOWKGQxJoro,240427,4,okay
0.529,0.68,1,-6.841,1,0.151,0.437,0,0.0651,0.367,91.961,spotify:track:1WbYFNSUNn9fP1x0Z5DU95,253200,4,okay
0.73,0.585,0,-9.274,1,0.0238,0.375,0.0101,0.147,0.721,100.021,spotify:track:0fxGA5lxrdYNYoE7yJxTNZ,260560,4,okay
0.466,0.48,0,-9.338,0,0.052,0.851,0.00000185,0.147,0.148,125.732,spotify:track:19fa8ArO30mgVcMsINZwY3,264125,4,okay
0.481,0.267,0,-8.588,1,0.0322,0.759,0,0.156,0.397,106.143,spotify:track:6Qk1YmTx5VyaAEDK2UuBrj,198000,4,okay
0.456,0.241,4,-8.922,0,0.0427,0.915,0,0.0769,0.458,121.96,spotify:track:5RWXdxMbRBChlO4pO4YCeY,210500,4,okay
0.684,0.695,9,-6.895,0,0.0281,0.0592,0,0.0803,0.571,94.985,spotify:track:5NyKVX8H9RUSbp1FbjaW4S,193158,4,okay
0.561,0.539,11,-6.932,1,0.039,0.457,0,0.105,0.361,147.885,spotify:track:46l8HFMVXwyVsT7xBr4qD7,249834,4,okay
0.764,0.579,5,-5.086,0,0.0366,0.00694,0.000654,0.0305,0.975,100,spotify:track:1leXuBiWQMgbvOIIedqbLB,223187,4,okay
0.396,0.282,1,-12.096,1,0.0434,0.956,0.00817,0.0932,0.134,72.781,spotify:track:6AkLsGPDOd9HnHJU8gWNWC,217750,4,okay
0.657,0.757,4,-7.341,1,0.0293,0.0199,0.000146,0.123,0.409,119.863,spotify:track:2CtZNEkrdSFBwpyEfTHP6G,245333,4,okay
0.774,0.587,6,-6.498,0,0.032,0.0787,0.0000027,0.105,0.237,125.065,spotify:track:0PPXEgevjLKKso0QVhEFZ4,220152,4,okay
0.435,0.203,3,-8.426,1,0.0359,0.965,0.0000811,0.101,0.182,100.67,spotify:track:0G7zUWU575zYyHCrOy14yz,205375,4,okay
0.67,0.576,0,-10.585,1,0.236,0.0782,0.0000423,0.61,0.442,113.032,spotify:track:2yeZrAbM8akDR4XtFVQjvK,143427,4,okay
0.706,0.286,4,-8.226,1,0.0402,0.914,0,0.0919,0.178,114.877,spotify:track:2iShskSFq8kd4VapEZTvhj,232013,4,okay
0.731,0.311,4,-14.939,0,0.0892,0.598,0.00000168,0.111,0.574,82.366,spotify:track:1qfDfZAvrkSAFrAR2FTQDv,121080,4,okay
0.562,0.479,7,-7.233,1,0.0278,0.036,0.000126,0.0562,0.113,140.051,spotify:track:48QYP8a8gEqbtvjOTMSpiD,383507,3,okay
0.458,0.51,10,-10.424,0,0.0409,0.335,0.00425,0.105,0.275,193.948,spotify:track:2ysXuQd8uOfSMZcMRR5Ux4,196747,4,okay
0.266,0.74,10,-7.972,0,0.0788,0.0513,0.00426,0.162,0.5,48.578,spotify:track:1kBM7AURqQTIXFePNVpEwP,198613,4,okay
0.509,0.527,11,-6.776,0,0.0348,0.239,0.0041,0.102,0.288,128.974,spotify:track:66H8Pon5ZiRE4p8W4OOf6I,206464,5,okay
0.262,0.28,9,-9.433,0,0.0283,0.869,0.00768,0.108,0.038,94.985,spotify:track:4wiw9LcroyooWx1G94TvCW,175510,4,okay
0.522,0.761,7,-7.032,1,0.0605,0.00206,0.000961,0.104,0.67,164.265,spotify:track:4aaHMLV4RTwA4fCMwnOlVJ,229867,4,okay
0.658,0.196,2,-15.133,1,0.0308,0.152,0.0000125,0.11,0.0387,103.88,spotify:track:4AJCvixc4oYfsD8n66JUBw,156680,4,okay
0.339,0.707,0,-5.121,0,0.0428,0.0113,0,0.337,0.359,173.993,spotify:track:3UhxppZQkfk9WniMtjpESF,183808,4,okay
0.635,0.53,9,-7.661,0,0.0432,0.518,0.0000455,0.132,0.185,128.943,spotify:track:1ucLr8unhoIDpNUrm3veN8,236209,4,okay
0.598,0.764,5,-7.482,1,0.0305,0.0839,0.041,0.632,0.657,127.085,spotify:track:4Db2yfChLn45oEI4HbXYfK,176747,4,okay
0.332,0.311,9,-9.568,1,0.0302,0.871,0,0.136,0.442,90.242,spotify:track:6KZ7duCkaniteGwmqz5ors,183333,4,okay
0.831,0.233,2,-12.227,0,0.439,0.283,0,0.192,0.514,159.827,spotify:track:1Z4UKak2eNteHFZkwiYPNz,217613,4,okay
0.532,0.882,0,-4.498,1,0.0547,0.0711,0.00888,0.555,0.698,124.102,spotify:track:37IRXXvOKvzHmwU3sJPhJd,218187,4,okay
0.332,0.852,9,-5.244,1,0.13,0.411,0,0.235,0.212,118.388,spotify:track:6gP7yhCLvUzdh6YOHbLVUv,196987,4,okay
0.523,0.73,9,-5.162,0,0.0311,0.000693,0.0000145,0.0675,0.0833,124.043,spotify:track:2nf8ohkhXTo5SRlcugeYBk,216733,4,okay
0.668,0.502,2,-5.408,1,0.0272,0.574,0,0.201,0.475,119.991,spotify:track:0f8AJ9aUHn4uCxHRs43gv6,212907,4,okay
0.588,0.6,9,-5.679,1,0.0292,0.0529,0.00000306,0.0858,0.23,77.98,spotify:track:3QlGBcAlEFwona8in9f8zY,208333,4,okay
0.395,0.508,0,-8.616,1,0.0633,0.544,0.00000602,0.0855,0.153,118.294,spotify:track:28GInoKi1prqHpfpo5E9Sa,183907,4,okay
0.703,0.922,1,-2.114,0,0.0343,0.0156,0.0000442,0.0686,0.969,126.98,spotify:track:0szn6232bFWU4HceuGNQyn,181333,4,okay
0.214,0.723,6,-5.268,1,0.0518,0.0512,0,0.354,0.682,77.517,spotify:track:0qmMRMyKXgVIx8Vv678Re6,207247,4,okay
0.6,0.849,11,-4.198,1,0.0284,0.119,0,0.299,0.821,97.616,spotify:track:49oUUzxP8SeQ65PaZ6ZVdY,205039,4,okay
0.599,0.805,8,-5.716,1,0.0401,0.0376,0,0.0337,0.597,90.119,spotify:track:0wAbE8PmaALSdGEpfOuk6J,190624,4,okay
0.556,0.763,6,-3.952,0,0.0413,0.000728,0.00000679,0.071,0.814,138.986,spotify:track:6jrMVRReY24qzCfe1BRrww,191400,4,okay
0.708,0.624,3,-5.721,0,0.215,0.0704,0,0.161,0.502,78.028,spotify:track:3oRLZ8I6wjEhY31iA60eF2,240080,4,okay
0.767,0.597,11,-7.476,0,0.358,0.097,0,0.145,0.669,91.025,spotify:track:16i8CGBee6mhoXmUyEBOZH,308960,4,okay
0.639,0.795,2,-5.005,0,0.0523,0.0487,0.0005,0.128,0.361,130.082,spotify:track:67CY1sdwFSvQQLcEajOj6C,240000,4,okay
0.529,0.841,6,-5.304,1,0.0787,0.208,0.00807,0.122,0.337,149.857,spotify:track:6lWT2iiPfzUiqFMNyFnR4b,228800,4,okay
0.757,0.786,2,-6.09,1,0.0453,0.0226,0.0000299,0.109,0.578,127.911,spotify:track:5dbgfhQpLiycbirhH3dJdh,228747,4,okay
0.578,0.834,7,-5.804,1,0.123,0.128,0.00291,0.0883,0.479,159.871,spotify:track:3bOfawOrDpk59qq9iuvJdw,321000,4,okay
0.638,0.52,7,-6.708,1,0.0271,0.654,0.0000118,0.24,0.537,95.92,spotify:track:310BgC3S2W0Cl8w0OmyS3n,185867,4,okay
0.717,0.444,10,-6.889,1,0.0335,0.578,0,0.134,0.647,139.042,spotify:track:2MB14VodxAdlDX5j9OGQps,267743,4,okay
0.622,0.641,7,-4.96,1,0.0418,0.0279,0,0.117,0.422,127.959,spotify:track:5HskLRdpkMp8OFiJCsisAN,191639,4,okay
0.204,0.328,10,-8.841,1,0.0353,0.0794,0.000156,0.207,0.105,159.225,spotify:track:17rZfMLMTRmRZWw30MdbXQ,443240,4,okay
0.189,0.317,10,-8.631,1,0.028,0.812,0.0719,0.214,0.251,84.809,spotify:track:5QWex1FyG3NhqIfJsJUqxj,158654,4,okay
0.409,0.666,9,-5.2,0,0.0423,0.253,0.00000719,0.586,0.378,160.047,spotify:track:7Iaf5V2TMb4cpKr5zn50k3,278440,4,okay
0.381,0.844,5,-7.123,1,0.144,0.0131,0,0.318,0.239,194,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,223880,4,okay
0.492,0.116,2,-15.15,0,0.0379,0.899,0.00000193,0.0889,0.434,111.787,spotify:track:6XQHlsNu6so4PdglFkJQRJ,149707,4,okay
0.622,0.717,1,-9.047,0,0.0419,0.00172,0.00721,0.809,0.408,120.027,spotify:track:51S2wDXrAYA25BbxfkTIWd,297267,4,okay
0.67,0.365,0,-10.158,1,0.0564,0.525,0,0.0575,0.45,119.342,spotify:track:2dR5WkrpwylTuT3jRWNufa,147147,4,okay
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,okay
0.37,0.0563,0,-11.616,1,0.036,0.955,0,0.114,0.222,132.523,spotify:track:2oQE2cYlz7WLIqW9OEsoNw,237907,4,okay
0.452,0.322,3,-9.224,1,0.0319,0.218,0.0000068,0.0893,0.321,127.928,spotify:track:3PGZPrE1MR6LHBmGQDQjW1,270440,3,okay
0.433,0.814,0,-6.398,1,0.0302,0.00884,0.0000465,0.131,0.71,148.005,spotify:track:6PRujayXxS5UK0Y4VrB6r3,218240,4,okay
0.701,0.509,0,-6.066,1,0.0695,0.671,0,0.0554,0.473,86.96,spotify:track:4hGgIRtsp9nvgMCmUz0n37,195848,4,okay
0.415,0.528,4,-7.564,1,0.0293,0.088,0.00595,0.0746,0.0479,105.217,spotify:track:1Hg2egRryMkCdXqXmXki3A,340253,4,okay
0.451,0.454,9,-8.862,1,0.0674,0.666,0,0.54,0.398,140.409,spotify:track:76wxxZfJeLNZbLO8IBCL80,236093,4,okay
0.416,0.625,6,-7.277,1,0.0533,0.00246,0.0000283,0.0915,0.297,124.81,spotify:track:53DDdIBN3Sjizj9glgErkH,306587,4,okay
0.614,0.799,0,-6.612,0,0.0398,0.0419,0.0119,0.0709,0.0851,99.998,spotify:track:141K1xJ176S0U6PPkc4Nee,226307,4,okay
0.626,0.741,2,-6.874,0,0.0929,0.416,0,0.137,0.208,87.981,spotify:track:1ISsiC4Fw6f96kZQegLGiJ,198253,4,okay
0.618,0.855,8,-6.697,1,0.0275,0.0852,0.00104,0.191,0.81,105.012,spotify:track:0CMAoEXWFRqf4yCyRGVpf3,240933,4,okay
0.564,0.616,4,-8.02,1,0.037,0.303,0.108,0.0921,0.397,175.974,spotify:track:0IMA4u3WltqMsJonirkvu2,254320,4,okay
0.327,0.269,4,-12.912,1,0.0339,0.825,0.000234,0.108,0.0857,141.514,spotify:track:5Z2TvUNflVYGsoFGkvAKzE,292693,4,okay
0.711,0.636,10,-7.367,1,0.0536,0.226,0.000209,0.247,0.965,95.417,spotify:track:1Cf6rQKZzKf9c0DdzCAadJ,221413,4,okay
0.52,0.871,10,-7.151,1,0.0406,0.0321,0.00000169,0.12,0.284,129.94,spotify:track:1Cy7Naa54d9lWFSOXLGRow,287720,4,okay
0.701,0.723,0,-6.359,1,0.0331,0.0205,0.000229,0.11,0.492,104.975,spotify:track:4BryHK1tKl72QIrwD2j5Wu,214280,4,okay
0.725,0.833,4,-4.71,0,0.0389,0.0189,0.0000354,0.115,0.76,114.995,spotify:track:2QXPS9L4JtG9yL1wz2fClv,193213,4,okay
0.462,0.452,10,-8.77,0,0.03,0.747,0.5,0.164,0.288,120.077,spotify:track:5JcQ9u8j1HuaMqFvOulxLY,211511,4,okay
0.432,0.72,1,-6.297,1,0.0355,0.0287,0.0103,0.178,0.534,186.766,spotify:track:4OOyte7lHJumYvF0vL3jpq,192480,4,okay
0.781,0.587,5,-6.616,0,0.0435,0.187,0,0.0662,0.903,149.936,spotify:track:0xyl4szEsXP3K90rhNwY0Y,294400,4,okay
0.516,0.387,2,-6.903,1,0.0263,0.221,0,0.118,0.224,80.993,spotify:track:44MxLl0QkF0EuDN5JovJrW,234600,4,okay
0.233,0.629,9,-7.674,1,0.0374,0.0434,0.00242,0.356,0.0647,117.891,spotify:track:20dyDdutlGUpKffvWOLpni,258599,4,okay
0.369,0.417,0,-5.95,1,0.0415,0.667,0,0.0778,0.342,93.256,spotify:track:1E87WkhGXw3iOn5b44NJRr,196109,4,okay
0.61,0.22,5,-9.962,1,0.0293,0.89,0.00000516,0.111,0.212,135.055,spotify:track:1a2UGfluPyrXHTbL1NeFbR,216120,3,okay
0.731,0.813,0,-3.811,1,0.0344,0.0652,0.000559,0.111,0.472,127.994,spotify:track:4TA2nSix6i8K2VV9wt6rUn,216180,4,okay
0.312,0.789,0,-6.29,1,0.0615,0.0251,0.0000105,0.186,0.82,176.745,spotify:track:3f9Vq2NkEErxgbToSAztFD,202200,4,okay
0.768,0.402,5,-9.624,1,0.0389,0.0417,0.0431,0.0866,0.28,144.94,spotify:track:2nee1ADU7skh07cCf7xq8C,215346,4,okay
0.731,0.293,8,-9.382,1,0.0336,0.0923,0.009,0.121,0.221,137.924,spotify:track:2DyOeiu42RDou7a8bAK7o0,222733,4,okay
0.664,0.732,7,-5.44,1,0.0397,0.221,0.00000202,0.234,0.453,95.057,spotify:track:0Bbh7ZL2lakTqTxY9xT4hn,194262,4,okay
0.65,0.956,4,-4.113,1,0.0564,0.0153,0.0000386,0.364,0.672,104.018,spotify:track:00W9ea9Nm5wZwxhylHawS4,156960,4,okay
0.823,0.518,10,-7.543,1,0.0343,0.477,0.0000254,0.0967,0.384,120.021,spotify:track:0q4raLNCH5LSXKpSLWjx43,241916,4,okay
0.525,0.707,1,-5.271,1,0.247,0.317,0.0000043,0.117,0.691,81.326,spotify:track:3DlXjF3LnofA7sp7RToEOW,248373,4,okay
0.708,0.559,6,-8.001,1,0.366,0.455,0.000832,0.113,0.742,148.103,spotify:track:3LtGNbHD1RWH1KgPBzYaPF,335413,4,okay
